Variable,N,Mean,Median,Mode,SD,Variance,CV_pct,Min,Q1,Q3,Max,IQR,Range,P05,P95,Skewness,Kurtosis
Age,5175,51.24,53.0,80.0,17.62,310.51,34.39,20.0,36.0,65.0,80.0,29.0,60.0,23.0,80.0,-0.058,-1.129
IncomePovertyRatio,4491,2.56,2.15,5.0,1.61,2.58,62.81,0.0,1.2,4.08,5.0,2.88,5.0,0.4,5.0,0.329,-1.268
BMI,5175,29.85,28.6,27.9,7.4,54.71,24.78,14.2,24.8,33.6,86.2,8.8,72.0,20.1,43.4,1.269,3.296
Weight,5175,82.85,79.1,65.1,22.93,525.96,27.68,32.6,67.0,94.85,242.6,27.85,210.0,52.4,125.6,1.117,2.246
Height,5175,166.28,165.8,161.4,10.11,102.26,6.08,138.3,158.8,173.6,197.7,14.8,59.4,150.67,183.23,0.154,-0.478
WaistCircumference,4928,100.76,99.4,107.2,16.99,288.82,16.87,57.9,88.8,111.1,169.5,22.3,111.6,74.9,131.3,0.494,0.228
EnergyKcal,4660,2111.94,1949.0,1700.0,985.47,971157.73,46.66,304.0,1415.0,2629.5,7766.0,1214.5,7462.0,860.8,3926.45,1.231,2.687
ProteinG,4689,79.4,71.56,34.34,42.68,1821.18,53.75,0.0,50.83,99.79,396.61,48.96,396.61,26.28,157.14,1.525,4.763
CarbohydrateG,4678,245.68,225.42,191.53,121.91,14861.04,49.62,0.0,160.15,310.0,864.3,149.85,864.3,86.84,472.27,1.121,2.073
SugarG,4683,105.4,89.8,108.12,73.22,5360.62,69.47,0.0,54.22,136.73,599.58,82.51,599.58,22.31,241.88,1.8,5.362
TotalFatG,4686,84.67,76.18,64.05,48.73,2374.61,57.55,0.0,50.72,108.0,395.84,57.27,395.84,22.78,176.64,1.33,3.08
FiberG,4691,16.86,14.5,11.4,11.02,121.46,65.37,0.0,9.2,21.9,107.8,12.7,107.8,3.9,38.15,1.571,4.351
SodiumMg,4660,3406.6,3088.0,2529.0,1761.52,3102955.53,51.71,113.0,2139.0,4298.25,11874.0,2159.25,11761.0,1193.9,6827.45,1.118,1.596
SystolicBP,4600,126.54,124.0,126.0,19.52,381.17,15.43,72.0,112.0,136.0,224.0,24.0,152.0,100.0,164.0,0.947,1.332
DiastolicBP,4563,72.66,72.0,76.0,11.9,141.59,16.38,30.0,64.0,80.0,124.0,16.0,94.0,54.0,92.0,0.171,0.617
HDL,4857,53.16,51.0,48.0,15.37,236.18,28.91,10.0,42.0,61.0,151.0,19.0,141.0,33.0,81.0,1.087,2.432
FastingGlucose,2394,114.38,104.0,95.0,38.02,1445.81,33.24,47.0,96.0,116.0,451.0,20.0,404.0,87.0,179.7,3.728,17.855
